"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","bound.sulfur.dioxide","pH","sulphates","alcohol","quality"
7.4,0.7,0,1.9,0.076,11,23,3.51,0.56,9.4,5
7.8,0.88,0,2.6,0.098,25,42,3.2,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15,39,3.26,0.65,9.8,5
11.2,0.28,0.56,1.9,0.075,17,43,3.16,0.58,9.8,6
7.4,0.7,0,1.9,0.076,11,23,3.51,0.56,9.4,5
7.4,0.66,0,1.8,0.075,13,27,3.51,0.56,9.4,5
7.9,0.6,0.06,1.6,0.069,15,44,3.3,0.46,9.4,5
7.3,0.65,0,1.2,0.065,15,6,3.39,0.47,10,7
7.8,0.58,0.02,2,0.073,9,9,3.36,0.57,9.5,7
7.5,0.5,0.36,6.1,0.071,17,85,3.35,0.8,10.5,5
6.7,0.58,0.08,1.8,0.097,15,50,3.28,0.54,9.2,5
7.5,0.5,0.36,6.1,0.071,17,85,3.35,0.8,10.5,5
5.6,0.615,0,1.6,0.089,16,43,3.58,0.52,9.9,5
7.8,0.61,0.29,1.6,0.114,9,20,3.26,1.56,9.1,5
8.9,0.62,0.18,3.8,0.176,52,93,3.16,0.88,9.2,5
8.9,0.62,0.19,3.9,0.17,51,97,3.17,0.93,9.2,5
8.5,0.28,0.56,1.8,0.092,35,68,3.3,0.75,10.5,7
8.1,0.56,0.28,1.7,0.368,16,40,3.11,1.28,9.3,5
7.4,0.59,0.08,4.4,0.086,6,23,3.38,0.5,9,4
7.9,0.32,0.51,1.8,0.341,17,39,3.04,1.08,9.2,6
8.9,0.22,0.48,1.8,0.077,29,31,3.39,0.53,9.4,6
7.6,0.39,0.31,2.3,0.082,23,48,3.52,0.65,9.7,5
7.9,0.43,0.21,1.6,0.106,10,27,3.17,0.91,9.5,5
8.5,0.49,0.11,2.3,0.084,9,58,3.17,0.53,9.4,5
6.9,0.4,0.14,2.4,0.085,21,19,3.43,0.63,9.7,6
6.3,0.39,0.16,1.4,0.08,11,12,3.34,0.56,9.3,5
7.6,0.41,0.24,1.8,0.08,4,7,3.28,0.59,9.5,5
7.9,0.43,0.21,1.6,0.106,10,27,3.17,0.91,9.5,5
7.1,0.71,0,1.9,0.08,14,21,3.47,0.55,9.4,5
7.8,0.645,0,2,0.082,8,8,3.38,0.59,9.8,6
6.7,0.675,0.07,2.4,0.089,17,65,3.35,0.54,10.1,5
6.9,0.685,0,2.5,0.105,22,15,3.46,0.57,10.6,6
8.3,0.655,0.12,2.3,0.083,15,98,3.17,0.66,9.8,5
6.9,0.605,0.12,10.7,0.073,40,43,3.45,0.52,9.4,6
5.2,0.32,0.25,1.8,0.103,13,37,3.38,0.55,9.2,5
7.8,0.645,0,5.5,0.086,5,13,3.4,0.55,9.6,6
7.8,0.6,0.14,2.4,0.086,3,12,3.42,0.6,10.8,6
8.1,0.38,0.28,2.1,0.066,13,17,3.23,0.73,9.7,7
5.7,1.13,0.09,1.5,0.172,7,12,3.5,0.48,9.8,4
7.3,0.45,0.36,5.9,0.074,12,75,3.33,0.83,10.5,5
7.3,0.45,0.36,5.9,0.074,12,75,3.33,0.83,10.5,5
8.8,0.61,0.3,2.8,0.088,17,29,3.26,0.51,9.3,4
7.5,0.49,0.2,2.6,0.332,8,6,3.21,0.9,10.5,6
8.1,0.66,0.22,2.2,0.069,9,14,3.3,1.2,10.3,5
6.8,0.67,0.02,1.8,0.05,5,6,3.48,0.52,9.5,5
4.6,0.52,0.15,2.1,0.054,8,57,3.9,0.56,13.1,4
7.7,0.935,0.43,2.2,0.114,22,92,3.25,0.73,9.2,5
8.7,0.29,0.52,1.6,0.113,12,25,3.25,0.58,9.5,5
6.4,0.4,0.23,1.6,0.066,5,7,3.34,0.56,9.2,5
5.6,0.31,0.37,1.4,0.074,12,84,3.32,0.58,9.2,5
8.8,0.66,0.26,1.7,0.074,4,19,3.15,0.74,9.2,5
6.6,0.52,0.04,2.2,0.069,8,7,3.4,0.63,9.4,6
6.6,0.5,0.04,2.1,0.068,6,8,3.39,0.64,9.4,6
8.6,0.38,0.36,3,0.081,30,89,3.2,0.56,9.4,5
7.6,0.51,0.15,2.8,0.11,33,40,3.17,0.63,10.2,6
7.7,0.62,0.04,3.8,0.084,25,20,3.34,0.53,9.5,5
10.2,0.42,0.57,3.4,0.07,4,6,3.04,0.63,9.6,5
7.5,0.63,0.12,5.1,0.111,50,60,3.26,0.77,9.4,5
7.8,0.59,0.18,2.3,0.076,17,37,3.43,0.59,10,5
7.3,0.39,0.31,2.4,0.074,9,37,3.41,0.54,9.4,6
